query_id,query,setting,gold_page_id,page_id,rank,retrieval_score,image_path,is_gold_page,gold_bbox,source,run_file
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Gold Evidence,doc001_p001,doc001_p001,,,artifacts\occlusion_pages\q001_doc001_p001_original.png,1,"[575, 929, 1017, 1468]",gold evidence page,
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",BM25,doc001_p001,doc006_p019,1,1.0,data\images\doc006\doc006_p019.png,0,"[575, 929, 1017, 1468]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Full MV,doc001_p001,doc006_p013,1,1.0330925,data\images\doc006\doc006_p013.png,0,"[575, 929, 1017, 1468]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Hybrid Fusion,doc001_p001,doc006_p019,1,1.0,data\images\doc006\doc006_p019.png,0,"[575, 929, 1017, 1468]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Budgeted MV,doc001_p001,doc004_p019,1,1.03028953,data\images\doc004\doc004_p019.png,0,"[575, 929, 1017, 1468]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Gold Masked,doc001_p001,doc001_p001,,,artifacts\occlusion_pages\q001_doc001_p001_gold_mask.png,1,"[575, 929, 1017, 1468]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q001,"Which page contains the fabrication requirements table with material, panel, and special requirement specifications?",Random Masked,doc001_p001,doc001_p001,,,artifacts\occlusion_pages\q001_doc001_p001_random_mask.png,1,"[575, 929, 1017, 1468]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Gold Evidence,doc001_p002,doc001_p002,,,artifacts\occlusion_pages\q002_doc001_p002_original.png,1,"[599, 953, 947, 1394]",gold evidence page,
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,BM25,doc001_p002,doc001_p001,1,1.0,data\images\doc001\doc001_p001.png,0,"[599, 953, 947, 1394]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Full MV,doc001_p002,doc001_p002,1,0.50915086,data\images\doc001\doc001_p002.png,1,"[599, 953, 947, 1394]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Hybrid Fusion,doc001_p002,doc001_p001,1,1.0,data\images\doc001\doc001_p001.png,0,"[599, 953, 947, 1394]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Budgeted MV,doc001_p002,doc006_p013,1,-0.05786718,data\images\doc006\doc006_p013.png,0,"[599, 953, 947, 1394]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Gold Masked,doc001_p002,doc001_p002,,,artifacts\occlusion_pages\q002_doc001_p002_gold_mask.png,1,"[599, 953, 947, 1394]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q002,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,Random Masked,doc001_p002,doc001_p002,,,artifacts\occlusion_pages\q002_doc001_p002_random_mask.png,1,"[599, 953, 947, 1394]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q004,Which page contains the drill table and stackup legend for the fabrication package?,Gold Evidence,doc001_p004,doc001_p004,,,artifacts\occlusion_pages\q004_doc001_p004_original.png,1,"[929, 663, 1468, 947]",gold evidence page,
q004,Which page contains the drill table and stackup legend for the fabrication package?,BM25,doc001_p004,doc001_p004,1,1.0,data\images\doc001\doc001_p004.png,1,"[929, 663, 1468, 947]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q004,Which page contains the drill table and stackup legend for the fabrication package?,Full MV,doc001_p004,doc005_p006,1,0.68070972,data\images\doc005\doc005_p006.png,0,"[929, 663, 1468, 947]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q004,Which page contains the drill table and stackup legend for the fabrication package?,Hybrid Fusion,doc001_p004,doc001_p004,1,1.0,data\images\doc001\doc001_p004.png,1,"[929, 663, 1468, 947]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q004,Which page contains the drill table and stackup legend for the fabrication package?,Budgeted MV,doc001_p004,doc006_p008,1,0.5818215,data\images\doc006\doc006_p008.png,0,"[929, 663, 1468, 947]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q004,Which page contains the drill table and stackup legend for the fabrication package?,Gold Masked,doc001_p004,doc001_p004,,,artifacts\occlusion_pages\q004_doc001_p004_gold_mask.png,1,"[929, 663, 1468, 947]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q004,Which page contains the drill table and stackup legend for the fabrication package?,Random Masked,doc001_p004,doc001_p004,,,artifacts\occlusion_pages\q004_doc001_p004_random_mask.png,1,"[929, 663, 1468, 947]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q006,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",Gold Evidence,doc002_p001,doc002_p001,,,artifacts\occlusion_pages\q006_doc002_p001_original.png,1,"[695, 710, 1219, 1013]",gold evidence page,
q006,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",BM25,doc002_p001,doc002_p001,1,1.0,data\images\doc002\doc002_p001.png,1,"[695, 710, 1219, 1013]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q006,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",Full MV,doc002_p001,doc004_p010,1,0.42580336,data\images\doc004\doc004_p010.png,0,"[695, 710, 1219, 1013]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q006,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",Hybrid Fusion,doc002_p001,doc002_p001,1,1.0,data\images\doc002\doc002_p001.png,1,"[695, 710, 1219, 1013]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q006,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",Budgeted MV,doc002_p001,doc006_p013,1,0.360798,data\images\doc006\doc006_p013.png,0,"[695, 710, 1219, 1013]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q006,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",Gold Masked,doc002_p001,doc002_p001,,,artifacts\occlusion_pages\q006_doc002_p001_gold_mask.png,1,"[695, 710, 1219, 1013]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q006,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",Random Masked,doc002_p001,doc002_p001,,,artifacts\occlusion_pages\q006_doc002_p001_random_mask.png,1,"[695, 710, 1219, 1013]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q007,Which page lists the bill of materials together with top and bottom assembly views?,Gold Evidence,doc002_p001,doc002_p001,,,artifacts\occlusion_pages\q007_doc002_p001_original.png,1,"[695, 710, 1219, 1013]",gold evidence page,
q007,Which page lists the bill of materials together with top and bottom assembly views?,BM25,doc002_p001,doc006_p019,1,1.0,data\images\doc006\doc006_p019.png,0,"[695, 710, 1219, 1013]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q007,Which page lists the bill of materials together with top and bottom assembly views?,Full MV,doc002_p001,doc006_p013,1,0.36529362,data\images\doc006\doc006_p013.png,0,"[695, 710, 1219, 1013]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q007,Which page lists the bill of materials together with top and bottom assembly views?,Hybrid Fusion,doc002_p001,doc006_p019,1,1.0,data\images\doc006\doc006_p019.png,0,"[695, 710, 1219, 1013]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q007,Which page lists the bill of materials together with top and bottom assembly views?,Budgeted MV,doc002_p001,doc004_p019,1,0.35800615,data\images\doc004\doc004_p019.png,0,"[695, 710, 1219, 1013]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q007,Which page lists the bill of materials together with top and bottom assembly views?,Gold Masked,doc002_p001,doc002_p001,,,artifacts\occlusion_pages\q007_doc002_p001_gold_mask.png,1,"[695, 710, 1219, 1013]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q007,Which page lists the bill of materials together with top and bottom assembly views?,Random Masked,doc002_p001,doc002_p001,,,artifacts\occlusion_pages\q007_doc002_p001_random_mask.png,1,"[695, 710, 1219, 1013]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q008,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,Gold Evidence,doc003_p007,doc003_p007,,,artifacts\occlusion_pages\q008_doc003_p007_original.png,1,"[431, 642, 764, 1012]",gold evidence page,
q008,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,BM25,doc003_p007,doc003_p007,1,1.0,data\images\doc003\doc003_p007.png,1,"[431, 642, 764, 1012]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q008,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,Full MV,doc003_p007,doc003_p012,1,1.08390713,data\images\doc003\doc003_p012.png,0,"[431, 642, 764, 1012]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q008,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,Hybrid Fusion,doc003_p007,doc003_p007,1,1.0,data\images\doc003\doc003_p007.png,1,"[431, 642, 764, 1012]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q008,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,Budgeted MV,doc003_p007,doc003_p007,1,0.55040222,data\images\doc003\doc003_p007.png,1,"[431, 642, 764, 1012]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q008,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,Gold Masked,doc003_p007,doc003_p007,,,artifacts\occlusion_pages\q008_doc003_p007_gold_mask.png,1,"[431, 642, 764, 1012]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q008,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,Random Masked,doc003_p007,doc003_p007,,,artifacts\occlusion_pages\q008_doc003_p007_random_mask.png,1,"[431, 642, 764, 1012]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q009,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,Gold Evidence,doc003_p008,doc003_p008,,,artifacts\occlusion_pages\q009_doc003_p008_original.png,1,"[451, 770, 713, 1073]",gold evidence page,
q009,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,BM25,doc003_p008,doc003_p008,1,1.0,data\images\doc003\doc003_p008.png,1,"[451, 770, 713, 1073]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q009,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,Full MV,doc003_p008,doc003_p022,1,0.69894534,data\images\doc003\doc003_p022.png,0,"[451, 770, 713, 1073]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q009,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,Hybrid Fusion,doc003_p008,doc003_p008,1,1.0,data\images\doc003\doc003_p008.png,1,"[451, 770, 713, 1073]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q009,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,Budgeted MV,doc003_p008,doc003_p007,1,0.62110317,data\images\doc003\doc003_p007.png,0,"[451, 770, 713, 1073]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q009,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,Gold Masked,doc003_p008,doc003_p008,,,artifacts\occlusion_pages\q009_doc003_p008_gold_mask.png,1,"[451, 770, 713, 1073]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q009,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,Random Masked,doc003_p008,doc003_p008,,,artifacts\occlusion_pages\q009_doc003_p008_random_mask.png,1,"[451, 770, 713, 1073]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q010,Which page shows the PCB layer stack with board cross section and stack dimensions?,Gold Evidence,doc003_p009,doc003_p009,,,artifacts\occlusion_pages\q010_doc003_p009_original.png,1,"[431, 420, 764, 790]",gold evidence page,
q010,Which page shows the PCB layer stack with board cross section and stack dimensions?,BM25,doc003_p009,doc006_p019,1,1.0,data\images\doc006\doc006_p019.png,0,"[431, 420, 764, 790]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q010,Which page shows the PCB layer stack with board cross section and stack dimensions?,Full MV,doc003_p009,doc004_p016,1,0.59570181,data\images\doc004\doc004_p016.png,0,"[431, 420, 764, 790]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q010,Which page shows the PCB layer stack with board cross section and stack dimensions?,Hybrid Fusion,doc003_p009,doc006_p019,1,1.0,data\images\doc006\doc006_p019.png,0,"[431, 420, 764, 790]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q010,Which page shows the PCB layer stack with board cross section and stack dimensions?,Budgeted MV,doc003_p009,doc004_p010,1,0.59085399,data\images\doc004\doc004_p010.png,0,"[431, 420, 764, 790]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q010,Which page shows the PCB layer stack with board cross section and stack dimensions?,Gold Masked,doc003_p009,doc003_p009,,,artifacts\occlusion_pages\q010_doc003_p009_gold_mask.png,1,"[431, 420, 764, 790]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q010,Which page shows the PCB layer stack with board cross section and stack dimensions?,Random Masked,doc003_p009,doc003_p009,,,artifacts\occlusion_pages\q010_doc003_p009_random_mask.png,1,"[431, 420, 764, 790]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q011,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,Gold Evidence,doc003_p010,doc003_p010,,,artifacts\occlusion_pages\q011_doc003_p010_original.png,1,"[431, 642, 764, 1012]",gold evidence page,
q011,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,BM25,doc003_p010,doc003_p029,1,1.0,data\images\doc003\doc003_p029.png,0,"[431, 642, 764, 1012]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q011,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,Full MV,doc003_p010,doc003_p012,1,1.33726823,data\images\doc003\doc003_p012.png,0,"[431, 642, 764, 1012]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q011,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,Hybrid Fusion,doc003_p010,doc003_p029,1,1.0,data\images\doc003\doc003_p029.png,0,"[431, 642, 764, 1012]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q011,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,Budgeted MV,doc003_p010,doc005_p004,1,0.78521419,data\images\doc005\doc005_p004.png,0,"[431, 642, 764, 1012]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q011,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,Gold Masked,doc003_p010,doc003_p010,,,artifacts\occlusion_pages\q011_doc003_p010_gold_mask.png,1,"[431, 642, 764, 1012]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q011,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,Random Masked,doc003_p010,doc003_p010,,,artifacts\occlusion_pages\q011_doc003_p010_random_mask.png,1,"[431, 642, 764, 1012]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
q012,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,Gold Evidence,doc003_p011,doc003_p011,,,artifacts\occlusion_pages\q012_doc003_p011_original.png,1,"[431, 642, 764, 1012]",gold evidence page,
q012,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,BM25,doc003_p011,doc003_p029,1,1.0,data\images\doc003\doc003_p029.png,0,"[431, 642, 764, 1012]",retrieval result,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
q012,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,Full MV,doc003_p011,doc005_p004,1,0.80202037,data\images\doc005\doc005_p004.png,0,"[431, 642, 764, 1012]",retrieval result,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv
q012,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,Hybrid Fusion,doc003_p011,doc003_p029,1,1.0,data\images\doc003\doc003_p029.png,0,"[431, 642, 764, 1012]",retrieval result,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
q012,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,Budgeted MV,doc003_p011,doc005_p004,1,0.73604608,data\images\doc005\doc005_p004.png,0,"[431, 642, 764, 1012]",retrieval result,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv
q012,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,Gold Masked,doc003_p011,doc003_p011,,,artifacts\occlusion_pages\q012_doc003_p011_gold_mask.png,1,"[431, 642, 764, 1012]",occlusion gold mask,results\week7\occlusion\occlusion_inputs.csv
q012,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,Random Masked,doc003_p011,doc003_p011,,,artifacts\occlusion_pages\q012_doc003_p011_random_mask.png,1,"[431, 642, 764, 1012]",occlusion random mask,results\week7\occlusion\occlusion_inputs.csv
